Creator_ID,Creator_Name,Platform,Content_Category,Country,Followers,Total_Posts,Posting_Frequency_Per_Week,Average_Views,Average_Likes,Average_Comments,Average_Shares,Engagement_Rate_Percent,Monthly_Growth_Rate_Percent,Estimated_Monthly_Revenue_USD
CR0250,Creator_0250,X,Fashion,USA,45270,791,20.0,56894,2581,151,48,4.57,6.2,163.82
CR0251,Creator_0251,Instagram,Beauty,USA,5375,262,12.9,4534,170,19,3,4.15,8.61,50.0
CR0252,Creator_0252,YouTube,Lifestyle,India,34125,806,20.2,48227,783,86,27,2.74,5.78,190.79
CR0253,Creator_0253,X,Travel,France,137251,121,4.4,153215,9977,1159,749,7.72,5.94,589.75
CR0254,Creator_0254,Instagram,Travel,Singapore,58896,704,12.6,90543,1018,63,67,1.65,3.28,478.91
CR0255,Creator_0255,Instagram,Tech,Canada,32128,190,24.0,58405,1112,44,44,3.58,12.25,122.83
CR0256,Creator_0256,YouTube,Gaming,USA,192668,672,7.4,333307,20241,1673,901,8.53,8.1,2027.03
CR0257,Creator_0257,Facebook,Tech,USA,21746,928,6.4,29818,1374,121,39,5.83,7.33,162.17
CR0258,Creator_0258,TikTok,Comedy,Canada,13193,207,28.6,20682,488,15,28,4.76,8.2,92.9
CR0259,Creator_0259,TikTok,Beauty,USA,32109,460,7.1,32051,1110,109,73,4.85,3.13,260.14
CR0260,Creator_0260,Instagram,Fashion,India,64954,105,8.6,29288,1878,40,50,2.72,8.76,440.29
CR0261,Creator_0261,TikTok,Food,USA,3731,495,29.1,6389,129,8,2,4.65,10.95,50.0
CR0262,Creator_0262,Facebook,Fitness,UAE,37331,71,22.3,34732,1688,89,90,4.03,0.67,101.24
CR0263,Creator_0263,Instagram,Fitness,USA,68315,130,21.3,123295,2971,279,146,5.2,7.4,512.54
CR0264,Creator_0264,YouTube,Tech,India,19730,968,25.7,38842,248,12,9,1.49,5.72,149.69
CR0265,Creator_0265,X,Comedy,UAE,96087,896,4.4,223253,3582,367,197,5.68,3.68,892.91
CR0266,Creator_0266,TikTok,Beauty,India,56238,873,21.5,135649,4238,336,205,7.04,1.67,674.56
CR0267,Creator_0267,TikTok,Lifestyle,India,315713,62,15.6,133263,9860,979,271,4.35,9.18,800.11
CR0268,Creator_0268,TikTok,Fitness,India,11348,230,25.0,28140,786,93,29,6.22,6.23,100.68
CR0269,Creator_0269,YouTube,Beauty,India,69934,987,15.7,128282,3622,318,144,5.48,4.78,518.1
CR0270,Creator_0270,Instagram,Fashion,Australia,8350,219,19.0,14624,323,38,23,3.46,7.4,50.0
CR0271,Creator_0271,X,Education,USA,4197,829,14.9,1812,103,5,7,2.47,5.05,50.0
CR0272,Creator_0272,X,Comedy,India,2589,877,14.9,5718,50,5,3,2.78,3.04,50.0
CR0273,Creator_0273,X,Gaming,Germany,49964,771,23.3,35251,3015,92,181,5.44,5.95,244.25
CR0274,Creator_0274,Facebook,Beauty,Germany,33252,646,19.2,71770,1076,49,54,4.68,5.4,277.7
CR0275,Creator_0275,YouTube,Fashion,Germany,15507,45,19.4,6709,1105,114,64,7.61,-0.71,98.21
CR0276,Creator_0276,YouTube,Lifestyle,India,3499,938,14.1,6146,172,5,13,6.54,3.3,50.0
CR0277,Creator_0277,X,Food,USA,12161,318,16.4,15968,875,63,24,6.54,1.07,75.43
CR0278,Creator_0278,TikTok,Gaming,Brazil,27030,96,22.6,22208,1740,133,82,5.38,-0.28,189.54
CR0279,Creator_0279,TikTok,Food,UAE,66979,943,25.0,41920,1763,134,102,2.68,7.14,366.42
CR0280,Creator_0280,X,Lifestyle,India,26396,156,21.2,34955,1407,95,80,5.52,3.16,189.14
CR0281,Creator_0281,Facebook,Fashion,India,35949,39,27.8,23688,1968,194,54,4.94,9.14,268.38
CR0282,Creator_0282,YouTube,Fitness,USA,17456,459,24.8,24814,262,8,13,2.3,-0.9,112.92
CR0283,Creator_0283,YouTube,Food,Germany,201110,230,17.3,344492,18013,919,1183,7.46,4.46,998.46
CR0284,Creator_0284,Instagram,Gaming,USA,8341,771,20.5,17828,463,37,20,7.23,3.34,50.0
CR0285,Creator_0285,TikTok,Tech,USA,12038,570,27.9,21971,340,30,22,2.28,-0.02,106.16
CR0286,Creator_0286,Instagram,Travel,India,15272,454,19.0,8199,566,34,19,3.4,5.52,57.88
CR0287,Creator_0287,YouTube,Beauty,Canada,50217,799,24.9,52507,2009,216,152,3.59,0.28,284.94
CR0288,Creator_0288,YouTube,Fitness,Singapore,8146,226,21.0,8184,522,32,24,6.14,6.28,50.0
CR0289,Creator_0289,Instagram,Food,USA,31447,458,17.0,73006,1728,104,89,5.89,8.02,163.23
CR0290,Creator_0290,TikTok,Education,UAE,32521,993,8.0,72272,1582,37,19,4.9,6.44,236.67
CR0291,Creator_0291,Instagram,Beauty,Brazil,12106,798,13.4,14252,443,33,9,5.4,6.88,50.0
CR0292,Creator_0292,Instagram,Tech,India,39319,685,29.1,21602,793,72,43,1.97,9.11,193.5
CR0293,Creator_0293,X,Lifestyle,USA,8442,61,20.1,19227,488,15,19,5.64,5.41,50.0
CR0294,Creator_0294,YouTube,Travel,India,7445,430,17.4,16864,403,20,18,4.58,2.61,60.95
CR0295,Creator_0295,Instagram,Fashion,UAE,30168,542,28.1,66217,952,93,13,3.31,3.37,188.39
CR0296,Creator_0296,YouTube,Tech,UK,3988,825,18.0,8672,39,5,2,1.43,3.44,50.0
CR0297,Creator_0297,TikTok,Tech,Canada,2283,629,16.3,3215,92,5,5,4.86,1.85,50.0
CR0298,Creator_0298,Instagram,Lifestyle,UAE,49650,446,23.0,38359,2895,252,66,5.59,8.24,141.33
CR0299,Creator_0299,TikTok,Comedy,USA,89887,294,21.7,126086,748,29,40,1.05,7.34,771.65
CR0300,Creator_0300,Instagram,Lifestyle,France,15727,467,6.6,22625,622,68,41,4.84,-0.33,63.47
CR0301,Creator_0301,Instagram,Comedy,USA,12477,921,14.7,17827,722,22,39,5.07,2.61,70.24
CR0302,Creator_0302,YouTube,Comedy,India,85508,961,14.7,130948,3062,277,97,3.58,1.68,480.63
CR0303,Creator_0303,YouTube,Fitness,Canada,7205,903,12.0,6780,388,27,21,5.64,6.61,50.0
CR0304,Creator_0304,TikTok,Fitness,UAE,5608,761,16.0,6556,212,22,5,4.51,9.27,50.0
CR0305,Creator_0305,TikTok,Gaming,India,60705,388,13.0,79632,3581,116,115,5.42,7.07,259.22
CR0306,Creator_0306,Facebook,Food,Singapore,27184,957,6.8,18358,1337,117,35,5.98,3.05,204.99
CR0307,Creator_0307,YouTube,Food,Germany,91547,239,13.0,124161,5979,461,292,5.98,4.38,350.73
CR0308,Creator_0308,YouTube,Fashion,India,2295,596,3.1,4824,111,7,2,7.04,0.63,50.0
CR0309,Creator_0309,X,Food,Brazil,5373,886,17.7,11492,347,23,26,5.54,0.89,62.44
CR0310,Creator_0310,Instagram,Fitness,India,27350,251,25.8,34578,974,89,32,3.75,8.46,62.17
CR0311,Creator_0311,YouTube,Gaming,India,43491,347,22.0,64779,1338,152,33,3.37,10.55,309.98
CR0312,Creator_0312,Instagram,Gaming,India,71256,462,11.5,33537,1782,51,79,2.46,3.0,254.78
CR0313,Creator_0313,Instagram,Comedy,Germany,32893,71,3.5,59743,1728,37,50,5.13,5.67,211.74
CR0314,Creator_0314,Facebook,Lifestyle,Canada,32511,905,6.9,40628,1827,183,86,7.71,8.02,84.58
CR0315,Creator_0315,X,Fashion,India,17191,962,16.8,22958,760,23,26,4.01,-0.32,56.67
CR0316,Creator_0316,TikTok,Comedy,USA,167634,395,7.0,374613,7915,939,152,5.79,1.83,1126.19
CR0317,Creator_0317,YouTube,Lifestyle,UK,7566,282,16.8,10364,283,23,8,3.14,12.48,50.0
CR0318,Creator_0318,Instagram,Food,India,40654,286,7.7,18070,2425,206,98,5.23,2.15,176.55
CR0319,Creator_0319,Instagram,Comedy,Germany,8638,378,25.6,7581,560,22,6,7.57,4.23,50.0
CR0320,Creator_0320,Instagram,Beauty,UAE,49761,336,12.5,69605,3562,156,227,6.31,3.39,269.24
CR0321,Creator_0321,YouTube,Food,USA,8163,343,8.1,10540,94,8,5,1.34,-1.48,57.71
CR0322,Creator_0322,TikTok,Lifestyle,Brazil,63284,940,24.6,139653,2725,302,141,6.06,5.79,379.72
CR0323,Creator_0323,TikTok,Fashion,USA,30605,927,10.9,47085,2313,273,111,6.16,5.41,157.26
CR0324,Creator_0324,Instagram,Lifestyle,Brazil,200052,685,4.2,369743,10793,429,553,5.18,6.13,998.55
CR0325,Creator_0325,Facebook,Comedy,Canada,19473,889,17.5,26981,1127,37,85,6.27,5.2,91.41
CR0326,Creator_0326,TikTok,Comedy,Canada,43857,897,17.9,58034,1157,29,12,2.97,3.89,221.4
CR0327,Creator_0327,YouTube,Tech,India,10975,671,21.7,14675,458,48,6,4.94,3.69,55.0
CR0328,Creator_0328,TikTok,Fashion,Germany,19320,958,8.0,24399,1732,85,40,7.24,3.75,99.34
CR0329,Creator_0329,YouTube,Education,USA,30382,582,13.9,46515,1563,31,33,7.04,2.04,208.0
CR0330,Creator_0330,Instagram,Food,India,4645,648,9.2,4300,234,9,5,6.01,2.58,50.0
CR0331,Creator_0331,YouTube,Gaming,India,5269,440,3.3,11967,141,7,8,2.86,2.1,50.0
CR0332,Creator_0332,TikTok,Fashion,UK,53628,65,26.4,58962,1260,150,53,2.51,7.51,284.57
CR0333,Creator_0333,Instagram,Gaming,USA,22742,840,22.1,16142,1071,77,85,5.05,6.57,91.65
CR0334,Creator_0334,Instagram,Fashion,Australia,13604,619,9.7,8199,534,21,13,5.2,5.59,65.96
CR0335,Creator_0335,Instagram,Fashion,Germany,11527,739,18.4,4935,389,20,12,4.58,12.3,76.89
CR0336,Creator_0336,Instagram,Lifestyle,India,12049,908,6.8,15519,293,15,23,3.03,2.26,62.65
CR0337,Creator_0337,X,Fashion,Australia,30620,288,26.8,24311,2114,46,144,5.76,9.42,210.25
CR0338,Creator_0338,TikTok,Tech,India,44881,620,4.3,19992,1623,54,69,5.04,4.59,250.07
CR0339,Creator_0339,YouTube,Education,Singapore,2426,400,1.1,3619,145,12,7,5.44,6.05,50.0
CR0340,Creator_0340,Instagram,Comedy,UAE,136592,137,15.6,249684,9218,295,636,6.11,7.85,312.06
CR0341,Creator_0341,YouTube,Travel,USA,125863,585,17.9,73010,6004,258,262,4.2,3.83,720.86
CR0342,Creator_0342,YouTube,Gaming,Australia,1844,972,17.8,2522,81,5,2,3.72,1.8,50.0
CR0343,Creator_0343,Instagram,Comedy,India,93790,135,2.6,183980,5485,525,372,7.24,2.38,864.57
CR0344,Creator_0344,YouTube,Travel,USA,90535,649,10.1,223639,2223,173,105,3.13,-1.87,1006.07
CR0345,Creator_0345,YouTube,Education,Singapore,26916,279,15.5,48478,942,83,19,3.77,7.62,213.57
CR0346,Creator_0346,TikTok,Education,USA,6052,94,7.3,5532,368,28,16,7.52,7.54,50.0
CR0347,Creator_0347,TikTok,Gaming,USA,86466,499,26.3,164697,3394,299,132,3.6,11.04,781.1
CR0348,Creator_0348,Instagram,Gaming,USA,20385,324,3.5,33750,963,19,68,4.58,6.95,141.41
CR0349,Creator_0349,YouTube,Education,Singapore,50574,26,15.1,42723,2311,261,43,3.89,7.79,296.09
CR0350,Creator_0350,TikTok,Travel,India,345269,385,21.1,755218,2125,66,151,0.88,5.21,3264.33
CR0351,Creator_0351,YouTube,Fashion,India,35940,653,8.6,46633,1952,118,89,4.53,7.13,350.43
CR0352,Creator_0352,X,Food,Australia,9372,542,19.1,22681,199,19,7,2.58,9.31,68.69
CR0353,Creator_0353,TikTok,Beauty,Singapore,18286,367,25.1,35074,925,58,19,5.36,6.14,149.33
CR0354,Creator_0354,Instagram,Comedy,India,10852,457,6.5,19029,716,82,42,7.23,3.68,77.07
CR0355,Creator_0355,Instagram,Lifestyle,India,44289,234,27.6,85457,244,16,18,0.5,4.73,296.76
CR0356,Creator_0356,TikTok,Comedy,India,10646,448,17.1,14947,374,40,13,3.9,8.13,95.46
CR0357,Creator_0357,Instagram,Lifestyle,India,15618,810,9.7,22817,1101,111,29,5.8,3.78,145.92
CR0358,Creator_0358,TikTok,Travel,USA,6141,517,13.5,13433,36,5,2,0.5,8.61,50.0
CR0359,Creator_0359,Facebook,Lifestyle,Australia,23111,559,10.1,42291,2098,236,137,7.74,12.18,109.95
CR0360,Creator_0360,TikTok,Gaming,Canada,32967,766,22.0,75303,1288,141,13,5.64,8.66,209.35
CR0361,Creator_0361,YouTube,Food,UK,1227,386,24.1,2786,102,9,5,7.18,8.11,50.0
CR0362,Creator_0362,TikTok,Food,USA,36261,332,25.2,88862,1444,81,74,3.56,6.72,238.09
CR0363,Creator_0363,YouTube,Gaming,Singapore,25525,557,29.6,47743,694,21,22,3.82,2.78,67.09
CR0364,Creator_0364,YouTube,Tech,USA,11161,940,23.9,16237,354,31,14,4.45,2.46,50.0
CR0365,Creator_0365,Facebook,Travel,Brazil,277318,73,18.4,207781,18723,2206,510,9.5,2.43,1294.23
CR0366,Creator_0366,YouTube,Tech,Canada,81003,560,10.8,152390,4096,379,267,7.7,7.44,743.0
CR0367,Creator_0367,Facebook,Tech,India,7624,486,16.8,7717,379,42,20,5.09,4.14,50.0
CR0368,Creator_0368,Facebook,Comedy,Canada,70542,884,2.2,70132,4665,468,220,5.36,5.4,277.81
CR0369,Creator_0369,Instagram,Education,India,112552,183,22.6,101342,6372,231,238,6.2,6.97,318.62
CR0370,Creator_0370,Instagram,Comedy,Canada,31314,801,13.9,70073,3069,137,93,10.06,2.56,158.03
CR0371,Creator_0371,Instagram,Education,India,40768,353,1.6,90616,2829,153,191,5.64,3.74,301.73
CR0372,Creator_0372,Instagram,Beauty,India,39699,566,2.8,68482,1562,57,64,4.9,6.63,186.9
CR0373,Creator_0373,Instagram,Lifestyle,Singapore,2443,817,12.2,3403,115,8,5,4.06,4.48,50.0
CR0374,Creator_0374,TikTok,Education,India,21700,367,17.9,39308,1128,132,52,5.32,4.81,177.88
CR0375,Creator_0375,Instagram,Gaming,Singapore,20440,292,14.5,34240,711,68,29,3.51,1.89,56.57
CR0376,Creator_0376,Instagram,Comedy,India,139340,982,19.0,177385,7024,437,196,5.89,4.86,1038.37
CR0377,Creator_0377,X,Travel,Canada,39489,739,14.9,47277,643,13,11,1.65,11.28,178.13
CR0378,Creator_0378,Instagram,Lifestyle,Canada,19105,769,20.2,22999,560,28,9,4.23,3.94,69.63
CR0379,Creator_0379,X,Beauty,USA,24254,433,7.4,39708,1726,125,108,6.42,1.49,139.65
CR0380,Creator_0380,Instagram,Education,India,87281,519,4.3,153623,4019,210,103,5.61,8.85,649.35
CR0381,Creator_0381,Instagram,Beauty,India,21757,112,18.3,29342,972,30,13,3.78,7.33,100.21
CR0382,Creator_0382,TikTok,Travel,India,12053,704,15.1,29340,450,28,29,4.29,6.24,50.0
CR0383,Creator_0383,TikTok,Tech,India,19593,98,1.8,11287,1020,46,21,7.08,0.88,85.4
CR0384,Creator_0384,X,Food,Canada,79364,641,12.0,89585,1813,201,97,2.14,1.38,437.93
CR0385,Creator_0385,TikTok,Travel,France,47600,236,4.1,60930,766,23,25,2.15,0.12,283.82
CR0386,Creator_0386,X,Fitness,Germany,28308,966,16.4,12329,858,21,16,2.75,7.01,151.07
CR0387,Creator_0387,Instagram,Travel,UAE,33532,377,12.5,39112,1972,40,76,4.78,9.07,53.58
CR0388,Creator_0388,Instagram,Beauty,UAE,14133,637,18.8,13776,287,15,3,1.82,7.13,87.32
CR0389,Creator_0389,TikTok,Gaming,Canada,21524,526,24.4,31482,985,84,67,6.9,12.32,106.29
CR0390,Creator_0390,X,Comedy,India,12546,578,9.7,13881,350,32,16,2.77,3.95,62.77
CR0391,Creator_0391,Facebook,Gaming,Germany,19168,200,28.9,36898,1082,70,21,5.29,4.37,112.71
CR0392,Creator_0392,YouTube,Beauty,Canada,126513,595,16.5,186082,5114,452,135,3.53,5.87,753.7
CR0393,Creator_0393,YouTube,Comedy,UK,7788,265,18.9,5237,248,13,10,4.66,4.7,50.0
CR0394,Creator_0394,TikTok,Fitness,India,12185,263,20.7,24066,145,12,3,1.27,7.25,87.73
CR0395,Creator_0395,YouTube,Food,USA,6358,525,20.3,3868,432,10,12,7.0,3.26,50.0
CR0396,Creator_0396,Facebook,Lifestyle,USA,4956,441,15.8,10714,99,5,4,2.68,0.62,50.0
CR0397,Creator_0397,X,Beauty,Germany,21703,339,13.4,51131,448,44,30,2.45,-0.76,209.35
CR0398,Creator_0398,YouTube,Education,USA,13223,106,2.6,14242,1212,121,46,10.03,7.18,107.63
CR0399,Creator_0399,TikTok,Beauty,USA,204013,236,1.6,478389,14122,1293,849,6.02,3.66,1699.62
CR0400,Creator_0400,TikTok,Beauty,Brazil,19432,509,11.4,40133,1623,65,115,6.92,1.41,131.78
CR0401,Creator_0401,Instagram,Comedy,India,118516,538,10.7,276985,7072,316,177,5.81,3.33,239.38
CR0402,Creator_0402,Facebook,Fashion,USA,81896,297,12.2,147344,2760,330,183,3.8,12.33,778.27
CR0403,Creator_0403,YouTube,Travel,India,21156,868,5.0,18931,325,9,20,1.92,1.61,104.39
CR0404,Creator_0404,X,Fashion,Australia,304569,741,22.4,693960,15626,594,546,4.14,8.05,2161.93
CR0405,Creator_0405,YouTube,Fitness,France,36637,188,25.9,28831,1203,39,95,2.65,6.97,270.66
CR0406,Creator_0406,Facebook,Education,India,153270,349,28.2,129885,5134,270,145,2.78,10.2,603.47
CR0407,Creator_0407,YouTube,Food,Singapore,134065,669,15.3,129940,1984,81,55,1.32,5.07,517.63
CR0408,Creator_0408,Instagram,Tech,India,43340,460,21.3,45026,1850,129,118,5.05,0.04,313.45
CR0409,Creator_0409,Facebook,Fitness,France,63818,410,25.8,94476,6010,406,242,8.26,8.97,336.62
CR0410,Creator_0410,Instagram,Tech,Australia,55142,515,13.1,104673,2976,327,98,6.03,4.63,307.71
CR0411,Creator_0411,Instagram,Tech,UAE,7216,400,10.0,16921,279,6,6,4.57,9.96,54.97
CR0412,Creator_0412,Facebook,Food,India,28735,325,28.2,16830,1484,77,94,4.71,8.36,138.91
CR0413,Creator_0413,Facebook,Gaming,Brazil,92538,761,16.0,222477,322,25,20,0.5,8.99,323.49
CR0414,Creator_0414,TikTok,Fashion,Australia,155610,839,15.4,363314,4089,329,203,3.87,13.79,721.34
CR0415,Creator_0415,TikTok,Beauty,India,11745,692,6.2,6029,179,12,13,1.66,6.49,63.21
CR0416,Creator_0416,YouTube,Lifestyle,Singapore,49422,532,4.1,57165,2312,234,74,5.1,10.55,387.33
CR0417,Creator_0417,Instagram,Tech,India,32000,767,25.4,67443,1607,42,40,4.23,4.08,244.07
CR0418,Creator_0418,YouTube,Education,Germany,23492,968,18.8,39567,492,49,28,2.89,7.39,147.89
CR0419,Creator_0419,TikTok,Fitness,India,40514,207,10.4,82490,1481,102,93,5.05,3.74,407.18
CR0420,Creator_0420,TikTok,Gaming,Australia,34568,949,6.6,66023,1284,42,33,5.03,7.18,338.66
CR0421,Creator_0421,X,Tech,USA,50142,535,17.1,72365,2725,295,41,8.14,6.81,147.79
CR0422,Creator_0422,TikTok,Gaming,India,141205,932,17.9,68704,6175,524,412,6.31,-1.71,797.17
CR0423,Creator_0423,Instagram,Gaming,India,66286,663,7.0,107844,3660,133,286,5.28,3.36,495.86
CR0424,Creator_0424,YouTube,Tech,India,38452,446,25.7,19302,950,22,52,2.72,6.31,88.61
CR0425,Creator_0425,Instagram,Comedy,USA,229651,521,3.4,383017,6209,211,182,2.44,-2.4,1259.04
CR0426,Creator_0426,YouTube,Travel,India,96415,749,11.3,200626,7349,594,586,6.12,5.16,1035.22
CR0427,Creator_0427,YouTube,Education,UK,24191,279,20.7,39394,1102,41,79,4.36,9.03,111.41
CR0428,Creator_0428,Facebook,Beauty,India,6636,532,8.9,16548,241,10,11,5.35,10.05,50.0
CR0429,Creator_0429,YouTube,Beauty,India,8638,90,25.0,11724,427,9,28,6.95,2.76,65.31
CR0430,Creator_0430,Instagram,Education,Australia,78685,497,22.5,155209,1363,125,91,1.47,10.28,756.32
CR0431,Creator_0431,Instagram,Comedy,India,13031,197,23.9,23470,991,100,74,7.87,9.73,122.94
CR0432,Creator_0432,TikTok,Beauty,Germany,8439,476,4.5,20945,669,66,46,6.93,-2.02,50.0
CR0433,Creator_0433,TikTok,Gaming,Singapore,11250,208,5.1,21349,65,5,3,0.5,5.91,54.71
CR0434,Creator_0434,Instagram,Food,Canada,12203,310,9.3,9084,1469,162,77,9.98,6.29,71.06
CR0435,Creator_0435,Instagram,Fitness,UK,71556,539,16.0,172205,4809,419,205,5.51,10.82,306.92
CR0436,Creator_0436,TikTok,Fashion,Germany,22465,784,22.7,40489,828,90,44,3.75,6.5,148.23
CR0437,Creator_0437,Instagram,Beauty,India,5551,939,25.3,2912,281,18,18,5.94,10.38,50.0
CR0438,Creator_0438,X,Education,India,27881,998,21.4,49653,906,57,70,2.65,2.77,228.46
CR0439,Creator_0439,TikTok,Food,India,34738,311,27.9,78318,2039,200,87,6.0,-0.09,275.09
CR0440,Creator_0440,Instagram,Tech,UAE,15502,965,22.4,24985,325,9,16,3.05,3.23,98.49
CR0441,Creator_0441,Instagram,Travel,India,101647,775,9.9,116227,9727,701,400,9.24,11.02,651.34
CR0442,Creator_0442,Facebook,Education,UK,16579,654,8.7,35212,819,84,46,4.93,8.74,139.2
CR0443,Creator_0443,YouTube,Gaming,Brazil,96238,830,21.2,196640,7119,733,385,6.23,13.63,673.82
CR0444,Creator_0444,YouTube,Travel,Singapore,53439,302,6.6,82444,1709,197,19,3.07,0.45,418.06
CR0445,Creator_0445,X,Fitness,USA,78088,563,3.7,56548,4429,397,212,6.6,9.14,277.05
CR0446,Creator_0446,Facebook,Fitness,India,7605,865,16.4,7050,446,18,7,4.77,8.14,50.0
CR0447,Creator_0447,Facebook,Comedy,Singapore,30123,396,24.8,58764,575,12,6,1.69,4.5,138.16
CR0448,Creator_0448,TikTok,Lifestyle,UK,25317,677,3.9,52982,1111,75,72,4.27,8.22,103.35
CR0449,Creator_0449,YouTube,Comedy,India,5243,175,24.0,5171,391,27,10,9.05,5.99,50.0
CR0450,Creator_0450,Instagram,Food,India,95876,527,24.5,112440,5606,246,189,6.69,7.11,575.38
CR0451,Creator_0451,TikTok,Travel,Germany,10509,432,15.0,5916,438,14,6,3.97,7.88,53.55
CR0452,Creator_0452,YouTube,Lifestyle,Canada,13346,547,2.7,25334,63,5,2,0.69,8.93,105.59
CR0453,Creator_0453,YouTube,Tech,Singapore,8389,374,6.1,3418,200,19,12,2.97,5.8,50.0
CR0454,Creator_0454,Facebook,Gaming,Germany,60256,578,21.5,29991,1111,132,49,1.71,11.72,383.89
CR0455,Creator_0455,Instagram,Travel,UK,4652,782,21.6,1903,32,5,2,0.74,4.74,50.0
CR0456,Creator_0456,YouTube,Comedy,USA,54751,206,27.1,96097,3187,316,120,6.53,12.09,387.48
CR0457,Creator_0457,Instagram,Fashion,USA,89428,50,17.9,114156,3272,267,94,4.94,1.55,506.68
CR0458,Creator_0458,YouTube,Lifestyle,India,49898,279,4.6,51137,3995,473,137,8.75,2.05,361.48
CR0459,Creator_0459,Instagram,Lifestyle,USA,61054,440,4.5,141442,1772,148,106,2.61,2.26,525.06
CR0460,Creator_0460,Instagram,Gaming,UAE,64439,548,21.9,51866,2495,264,121,4.79,8.85,208.26
CR0461,Creator_0461,Instagram,Beauty,UK,9028,570,6.3,10993,102,11,7,1.73,2.68,50.0
CR0462,Creator_0462,TikTok,Fitness,Germany,140076,323,10.5,332632,5138,580,267,3.49,10.72,1273.18
CR0463,Creator_0463,TikTok,Fitness,USA,15849,961,15.1,20554,842,48,37,4.31,3.66,83.86
CR0464,Creator_0464,TikTok,Fashion,UK,24925,963,1.7,39004,1005,28,65,3.98,6.9,164.49
CR0465,Creator_0465,Facebook,Food,Canada,18351,58,8.2,10436,651,24,49,4.92,7.74,50.0
CR0466,Creator_0466,YouTube,Food,UK,47347,508,12.8,97504,2768,71,96,6.94,1.94,465.27
CR0467,Creator_0467,Instagram,Tech,Australia,14490,663,9.1,18660,1138,34,31,6.71,0.63,120.81
CR0468,Creator_0468,X,Travel,India,29055,561,5.0,60465,713,27,37,3.11,6.49,329.54
CR0469,Creator_0469,Instagram,Education,USA,6498,689,22.1,6062,311,16,13,4.73,4.53,50.0
CR0470,Creator_0470,Facebook,Beauty,India,102679,297,24.6,132168,5996,445,475,6.55,7.24,516.4
CR0471,Creator_0471,Instagram,Comedy,USA,58183,222,8.5,119377,3191,290,135,7.08,0.79,303.45
CR0472,Creator_0472,Facebook,Education,USA,19223,85,23.5,47002,732,30,11,3.35,4.25,117.56
CR0473,Creator_0473,Instagram,Education,Canada,15685,127,12.2,8237,1093,95,85,6.36,4.86,74.12
CR0474,Creator_0474,Facebook,Lifestyle,Brazil,56461,287,15.7,118915,3268,295,225,5.53,-3.03,320.1
CR0475,Creator_0475,YouTube,Fashion,UK,11927,241,25.8,12302,231,17,5,2.45,8.98,84.76
CR0476,Creator_0476,Facebook,Fitness,Australia,31075,823,22.7,48370,1444,159,105,6.56,2.85,139.25
CR0477,Creator_0477,Instagram,Tech,USA,102294,549,24.3,103234,5225,162,176,5.13,10.75,585.7
CR0478,Creator_0478,YouTube,Food,Canada,10583,109,5.0,17866,100,5,3,0.97,3.08,50.0
CR0479,Creator_0479,Facebook,Fashion,India,41105,712,3.0,46982,1301,81,95,4.15,3.68,218.72
CR0480,Creator_0480,YouTube,Lifestyle,India,38680,274,26.9,42570,1293,42,60,4.89,1.15,247.74
CR0481,Creator_0481,TikTok,Comedy,USA,24054,474,12.2,11537,582,44,11,3.47,9.51,72.66
CR0482,Creator_0482,TikTok,Tech,USA,15072,272,9.3,10680,1408,84,50,7.5,7.09,75.19
CR0483,Creator_0483,YouTube,Lifestyle,India,108772,276,22.0,252988,9235,447,559,7.58,10.4,1000.94
CR0484,Creator_0484,TikTok,Fitness,India,13531,402,25.3,33778,644,23,14,3.96,4.77,73.33
CR0485,Creator_0485,TikTok,Fitness,India,3348,461,26.0,6826,95,5,4,3.72,5.35,50.0
CR0486,Creator_0486,Facebook,Fitness,Brazil,56196,877,10.2,56325,3108,251,182,4.51,-0.39,318.4
CR0487,Creator_0487,Instagram,Fashion,India,6758,618,25.7,8414,216,16,7,4.36,3.32,62.31
CR0488,Creator_0488,Instagram,Fashion,USA,59615,109,2.2,116425,1993,72,116,3.5,6.1,471.52
CR0489,Creator_0489,Facebook,Food,India,124883,768,2.4,303950,716,23,51,0.5,6.86,1225.84
CR0490,Creator_0490,Facebook,Food,UK,55504,409,19.1,75290,4133,93,177,8.66,11.88,467.51
CR0491,Creator_0491,YouTube,Comedy,India,92237,601,2.8,197571,4006,85,147,4.8,-0.98,983.76
CR0492,Creator_0492,TikTok,Tech,India,274596,63,10.4,672113,8802,950,242,4.41,6.3,1373.08
CR0493,Creator_0493,Instagram,Gaming,USA,81778,731,20.5,182716,3267,80,170,5.52,4.18,502.92
CR0494,Creator_0494,Instagram,Gaming,India,39346,683,10.8,34507,1857,172,132,4.62,5.76,148.69
CR0495,Creator_0495,YouTube,Lifestyle,India,176141,617,6.2,73427,7156,767,234,3.85,5.86,950.32
CR0496,Creator_0496,YouTube,Fitness,India,202398,38,9.2,290111,5852,174,220,2.59,4.83,972.48
CR0497,Creator_0497,TikTok,Tech,India,205682,120,14.3,311784,1538,97,59,0.76,1.53,1809.38
CR0498,Creator_0498,Instagram,Education,India,15275,933,14.8,12565,288,33,14,1.82,0.88,61.76
CR0499,Creator_0499,Facebook,Fashion,India,5669,626,23.7,5656,87,8,2,2.34,4.57,50.0
CR0500,Creator_0500,Facebook,Travel,UAE,14240,785,22.8,28577,662,45,44,6.23,0.53,94.69
